"gene_name","meth_category"
"DHODH","TSS1500"
"DHRS9","TSS1500"
"DIO1","TSS1500"
"DIO3","TSS200"
"DKFZP434H168","TSS1500"
"DLG2","TSS200"
"DNAH3","TSS1500"
"DNAJC5","TSS1500"
"DOC2B","TSS1500"
"DOK3","TSS1500"
"DOK3","TSS200"
"DOPEY2","TSS1500"
"DOT1L","TSS1500"
"DPPA4","TSS1500"
"DRD5","TSS200"
"DRG1","TSS1500"
"DSTYK","TSS1500"
"DTNA","TSS1500"
"DUSP3","TSS1500"
"DYRK4","TSS200"
"ECE1","TSS1500"
"EFCAB2","TSS1500"
"EGOT","TSS1500"
"EHD3","TSS1500"
"EIF4G1","TSS1500"
"ELANE","TSS1500"
"ELANE","TSS200"
"ELAVL4","TSS200"
"ELMO1","TSS200"
"ELN","TSS200"
"ELOVL6","TSS1500"
"EMR1","TSS200"
"EMR3","TSS200"
"ENC1","TSS1500"
"ENTHD1","TSS200"
"ENTPD1","TSS1500"
"ENTPD1","TSS200"
"EP400","TSS1500"
"EPB49","TSS1500"
"EPDR1","TSS200"
"EPHA2","TSS1500"
"EPN3","TSS1500"
"EPOR","TSS200"
"EPS8L1","TSS1500"
"ERC1","TSS1500"
"ERCC3","TSS1500"
"ERG","TSS1500"
"ESD","TSS1500"
"ESPNL","TSS1500"
"EVPLL","TSS1500"
"EXT1","TSS1500"
"F12","TSS1500"
"F12","TSS200"
"F2RL2","TSS200"
"F8","TSS1500"
"FADD","TSS1500"
"FAM13A","TSS1500"
"FAM157A","TSS1500"
"FAM165B","TSS1500"
"FAM167B","TSS1500"
"FAM50B","TSS1500"
"FAM53C","TSS1500"
"FAM55C","TSS1500"
"FAM65C","TSS200"
"FAM82B","TSS1500"
"FANCI","TSS1500"
"FBXO6","TSS1500"
"FBXW12","TSS1500"
"FCAMR","TSS1500"
"FCER1G","TSS1500"
"FCER1G","TSS200"
"FCER2","TSS1500"
"FCGR2A","TSS1500"
"FCGRT","TSS1500"
"FCGRT","TSS200"
"FER","TSS1500"
"FER1L5","TSS1500"
"FERMT3","TSS1500"
"FES","TSS1500"
"FFAR2","TSS1500"
"FGD4","TSS200"
"FGF11","TSS1500"
"FGR","TSS1500"
"FGR","TSS200"
"FIGN","TSS200"
"FLI1","TSS1500"
"FLI1","TSS200"
"FLJ10213","TSS1500"
"FLJ42289","TSS1500"
"FLJ42289","TSS200"
"FLJ44635","TSS1500"
"FLJ45079","TSS1500"
"FMN1","TSS1500"
"FNDC3B","TSS1500"
"FOLR3","TSS200"
"FOXD2","TSS1500"
"FPGS","TSS1500"
"FUT7","TSS1500"
"FXYD1","TSS1500"
"FXYD1","TSS200"
"FXYD2","TSS1500"
"FXYD2","TSS200"
"FYB","TSS200"
"FZD6","TSS1500"
"G6PC3","TSS1500"
"GABBR1","TSS1500"
"GALNT1","TSS1500"
"GAPT","TSS1500"
"GAS7","TSS1500"
"GAS7","TSS200"
"GBE1","TSS1500"
"GCA","TSS1500"
"GCNT2","TSS1500"
"GCNT2","TSS200"
"GFI1","TSS1500"
"GFI1B","TSS1500"
"GFRA3","TSS1500"
"GHRL","TSS1500"
"GHRL","TSS200"
"GIPR","TSS1500"
"GLB1","TSS1500"
"GLIPR1","TSS1500"
"GLT25D2","TSS1500"
"GLUL","TSS1500"
"GNB2L1","TSS1500"
"GOT2","TSS1500"
"GP5","TSS200"
"GP9","TSS200"
"GPD2","TSS1500"
"GPN1","TSS1500"
"GPR182","TSS1500"
"GPR21","TSS1500"
"GPR21","TSS200"
"GPR3","TSS1500"
"GPR55","TSS200"
"GPR62","TSS1500"
"GPR77","TSS1500"
"GPR97","TSS1500"
"GPSM1","TSS1500"
"GPSM3","TSS1500"
"GPX2","TSS1500"
"GPX3","TSS200"
"GRAMD1A","TSS1500"
"GRASP","TSS1500"
"GRB7","TSS200"
"GREB1","TSS200"
"GSDMD","TSS1500"
"GSTP1","TSS1500"
"GTDC1","TSS1500"
"GYPC","TSS1500"
"H2AFY","TSS1500"
"H2AFY","TSS200"
"H6PD","TSS1500"
"HAUS6","TSS1500"
"HDAC7","TSS1500"
"HEYL","TSS1500"
"HGSNAT","TSS1500"
"HHEX","TSS1500"
"HIPK3","TSS1500"
"HIPK4","TSS1500"
"HIST1H4L","TSS1500"
"HK2","TSS200"
"HLA-DMA","TSS1500"
"HLA-DQA2","TSS200"
"HLA-DRA","TSS1500"
"HNRPLL","TSS1500"
"HORMAD2","TSS200"
"HOXB2","TSS1500"
"HOXB2","TSS200"
"HOXD11","TSS1500"
"HP","TSS1500"
"HPGDS","TSS200"
"HPS4","TSS1500"
"HPSE","TSS1500"
"HRASLS5","TSS1500"
"HRH1","TSS200"
"HRH4","TSS1500"
"HSPC159","TSS1500"
"HTR3A","TSS1500"
"ICA1","TSS1500"
"ICA1","TSS200"
"ICAM4","TSS1500"
"ID3","TSS1500"
"IFFO1","TSS1500"
"IFFO1","TSS200"
"IFI27","TSS1500"
"IFI44L","TSS1500"
"IFITM3","TSS200"
"IFLTD1","TSS1500"
"IFNGR2","TSS1500"
"IFRD1","TSS200"
"IGLL1","TSS1500"
"IKZF4","TSS1500"
"IKZF4","TSS200"
"IL10","TSS1500"
"IL16","TSS1500"
